svy_geoid,tsi6_mean,tsi6_se,fsi6_mean,fsi6_se,nhd_cohes_mean,nhd_cohes_se,prop_black_2024,poverty_rate_2024,median_income_2024,black_stratum_2024,poverty_stratum_2024,income_quartile_2024,pop_density_2024,region
24005440500,0.6793187888198191,0.5245480191872958,0,0,8.999999999999998,1.2945127757069402e-15,0.23725544227059797,0.15868596881959912,87434,> 10% to ≤ 25%,Low poverty,Q3,3154.679022153752,Baltimore County
24005440600,0.21384165870830266,0.19485074907926353,1.0529691216564305,0.9632037299068797,10,0,0.27507163323782235,0.006958657388456815,148600,> 25% to ≤ 50%,Low poverty,Q4 (highest),1032.1434417805872,Baltimore County
24005440701,0.3902685966383414,0.23163462959563202,0.7111048643557106,0.4779941000507998,9.279848572745088,0.40393378325586454,0.6202848852545503,0.11238095238095239,101801,> 50% to ≤ 75%,Low poverty,Q3,5026.182247807077,Baltimore County
24005440702,2.4799164893592844,1.632453798862267,0.5858569781373141,0.3005985719265468,10.215329225115761,1.2561999120454022,0.4490632318501171,0.0466432474629196,71306,> 25% to ≤ 50%,Low poverty,Q2,4682.425356251208,Baltimore County
24005440800,5.955438026761478,2.127461715872648,1.4321118812415095,0.41301182690952076,9.723332945395729,0.3372054608671078,0.4484792054624457,0.0670391061452514,80701,> 25% to ≤ 50%,Low poverty,Q3,2842.1779226104763,Baltimore County
24005440900,1.1123657513137832,0.5541705640330068,2.027268298321968,0.6795874204705473,9.175442250451395,0.939135016972023,0.5913779423432954,0.07749272679185401,87308,> 50% to ≤ 75%,Low poverty,Q3,5083.767613899767,Baltimore County
24005441000,1.3899293129721206,1.349018738894959,4.580230878550614,1.0247521379229747,9.456466388219946,0.33429400076727844,0.8784949046250327,0.15129344133786254,69875,> 75% to ≤ 90%,Low poverty,Q2,7144.596205938618,Baltimore County
24005441101,3.0253576389146297,2.9844658850932793,3.092392708325611,0.8953399522194038,10,0,0.2872628726287263,0.07918552036199095,115250,> 25% to ≤ 50%,Low poverty,Q4 (highest),3747.1547432186057,Baltimore County
24005441102,2.495747090150587,0.9921527542431664,3.3801584551018524,1.015417986762274,10.171054845993499,1.3627846540997366,0.3498122653316646,0.09240717563621194,86339,> 25% to ≤ 50%,Low poverty,Q3,4790.4247359390965,Baltimore County
24005450100,4.737056426205845,2.2384215895133184,3.877698382321416,1.4598763055319863,6,0,0.09247688077980505,0.13494897959183674,83620,≤ 10%,Low poverty,Q3,1141.52142328225,Baltimore County
24005450200,1.062096993424777,0.9678206883031442,3.5412729912241554,0.825528832063503,8.354351478385427,1.4292658919183512,0.07620481927710844,0.14909638554216867,60741,≤ 10%,Low poverty,Q2,4202.333491513728,Baltimore County
24005450300,2.7495644057269044,1.1199766496322767,2.5817624809845974,0.7948030025500405,8.407495701955648,0.37927940793845905,0.18508371385083713,0.11506849315068493,64583,> 10% to ≤ 25%,Low poverty,Q2,3555.056521655562,Baltimore County
24005450400,0.7929096422945063,0.6715948598621596,0.5946822317208798,0.6215785726977526,7.484279264852004,0.4242589444825262,0.15240641711229946,0.09128978224455611,87639,> 10% to ≤ 25%,Low poverty,Q3,5669.60650994938,Baltimore County
24005450501,2.0401639052361342,1.8427937100192755,1.0721467506438884,0.633562125119505,9.219087840855588,0.8957312987808104,0.06936416184971098,0.05849722642460918,64054,≤ 10%,Low poverty,Q2,4266.636906859078,Baltimore County
24005450503,2.0223223293811023,1.4334351061229484,2.898274065553026,0.867629382553999,9.6621696940189,0.5056678882255732,0.6717886740331491,0.22220303867403315,63816,> 50% to ≤ 75%,High poverty,Q2,16175.922137551099,Baltimore County
24005450504,3.819339759033927,1.3035418936441938,4.882875682209335,0.8105557959359488,8.226652630946399,0.8823985628840011,0.6081685668927695,0.20457525863325077,41634,> 50% to ≤ 75%,High poverty,Q1 (lowest),15445.839675419238,Baltimore County
24005450800,0.6002635400561357,0.5600779011021281,1.0777895558682862,0.37542965230009007,8.427393012255768,1.5324461265896692,0.46321192862380833,0.10664033571957542,70903,> 25% to ≤ 50%,Low poverty,Q2,5107.292892640063,Baltimore County
24005450900,0.09914986690943596,0.10748761348440679,1.5167927130769119,1.0386196728519819,9.16205947136149,1.1191512423085603,0.16087158089939732,0.04040642722117202,116785,> 10% to ≤ 25%,Low poverty,Q4 (highest),2143.211391168208,Baltimore County
24005451000,0.1923431115882285,0.17820390834355893,0,0,6.803455028577322,0.6869294163058932,0.02785673678226265,0.08945868945868946,141136,≤ 10%,Low poverty,Q4 (highest),334.1273914574716,Baltimore County
24005451100,0.1843897889289202,0.18499780901079477,1.2731761482225608,0.9137391104559863,10,0,0.35066079295154184,0.0415929203539823,140060,> 25% to ≤ 50%,Low poverty,Q4 (highest),2213.3649416849253,Baltimore County
24005451200,0,0,1.478316268682005,0.7495366233675291,10.969450614268451,0.8608446723812535,0.1305061559507524,0.11792065663474692,77938,> 10% to ≤ 25%,Low poverty,Q3,1879.6802377357913,Baltimore County
24005451300,3.269499671768762,1.727490192789566,2.1297984372458747,1.0598471242201555,9.357818470023018,0.5375044352815366,0.2731577389760284,0.21395348837209302,60685,> 25% to ≤ 50%,High poverty,Q2,4096.710651363164,Baltimore County
24005451401,1.0868811585777285,0.9803264230642744,2,0,10.275412560948181,0.6535961012416996,0.5562302647558902,0.07238280301190186,94482,> 50% to ≤ 75%,Low poverty,Q3,15285.060658708044,Baltimore County
24005451402,3.068439450336668,0.9679961662408132,3.969841929952749,1.432450721329964,9.176545597459784,3.237134595628547,0.6214917339484813,0.3531334102268358,53735,> 50% to ≤ 75%,High poverty,Q1 (lowest),4814.39825049446,Baltimore County
24005451500,2.2517970655775996,0.9803512884980058,3.0732980269290624,1.0951960215408099,9.81483316090408,1.8688832466950582,0.39386689865158764,0.17746846454980425,79640,> 25% to ≤ 50%,Low poverty,Q3,14377.843056387273,Baltimore County
24005451600,0,0,0.17946764481659927,0.17441630958359847,10.324351167346306,0.2694646867945505,0.07649667405764966,0.08361204013377926,73542,≤ 10%,Low poverty,Q2,861.4733135926662,Baltimore County
